ID,Name,latitude,longitude
174,MILLENIA HOTEL PRIVATE LIMITED,1.249482971,103.8243782
175,BUGIS MONEY CHANGER,1.299067991,103.855328
176,TRUE BLUE MONEY CHANGER,1.304485801,103.8339419
177,UNITED MONEY EXCHANGE,1.304485801,103.8339419
178,WISMA EXCHANGE,1.304485801,103.8339419
179,REGENT MONEY CHANGER PTE LTD,1.30571324,103.8602667
180,MONEY SUPPLY PTE LTD,1.336757621,103.8869369
181,FONG LAI TRADING,1.443685531,103.777803
182,LIFU MONEY CHANGER,1.335024304,103.7466382
183,ALIZIA GIFT HOUSE,1.320429679,103.8438921
184,AL-RAJHI MONETARY EXCHANGE,1.306322346,103.8528847
185,TRAVELEX HOLDINGS (S) PTE LTD,1.354370738,103.9851696
186,SJ MONEY EXCHANGE,1.29701306,103.8535258
187,BEZ IMPEX PTE LTD,1.346348193,103.7124293
188,RESHONG CORPORATION PRIVATE LIMITED,1.315859062,103.8983762
189,KOVICS TRADING S'PORE PTE LTD,1.302751218,103.8651636
190,SINEO ENTERPRISES PTE LTD,1.433512534,103.7797469
191,MONG LEE ENTERPRISE PTE LTD,1.346348193,103.7124293
192,TONG FONG MONEY CHANGER,1.335042019,103.720268
193,CHANGI MONEY CHANGER (S) PTE LTD,1.306389536,103.8527139
194,FXCHANGE PRIVATE LIMITED,1.334138459,103.8954475
195,OXFORD HOTEL PTE LTD,1.298010395,103.85182
196,SANGAM EXCHANGE,1.306229488,103.8520885
197,FEYAZI MONEY CHANGER,1.305506117,103.8299848
198,BEAUTY TRADING,1.300533917,103.8548309
199,GREEN POINT MONEY EXCHANGE,1.326359095,103.9299959
200,LINK HOTEL PTE LTD,1.284872405,103.8342907
201,LION CITY STORE,1.307246753,103.8336649
202,M M ISMAIL AND CO,1.429698482,103.8357765
203,TAQWA FOREIGN EXCHANGE,1.310227299,103.854729
204,THE LEGENDS FORT CANNING PARK PTE. LTD.,1.295812677,103.8453621
205,JAMSERAH JAS MONEY CHANGER,1.304485801,103.8339419
206,A.R.J. MONEY CHANGER,1.385068363,103.7449504
207,AHNAAF MONEY EXCHANGE,1.44822653,103.8194621
208,AL THASNEEM TRADERS,1.350675514,103.8718616
209,AL-ALIF TRADING,1.301257296,103.8411502
210,ALIF & ALIF TRADING PTE LTD,1.307246753,103.8336649
211,ALIZIA TRADING,1.301257296,103.8411502
212,DOLLAR EXCHANGE PTE LTD,1.339315039,103.705351
213,HARATAN SERVICING PTE LTD,1.314957304,103.8934003
214,HOTEL MIRAMAR (SINGAPORE) LIMITED,1.288219908,103.837415
215,HOTEL ROYAL @ QUEENS (SINGAPORE) PTE LTD,1.297526262,103.8521331
216,HOTEL ROYAL LIMITED,1.316830614,103.8418595
217,HPL PROPERTIES PTE LTD,1.305210226,103.8286527
218,HUMAYUN'S MONEY CHANGER,1.314957304,103.8934003
219,I K I EXCHANGE PTE LTD,1.306249762,103.8520486
220,FURAMA LTD,1.287634548,103.8360928
221,GAJ TRADERS,1.310255422,103.7953504
222,INNOTEL MANAGEMENT PTE. LTD.,1.297660812,103.8444506
223,REPUBLIC HOTELS & RESORTS LIMITED,1.290281942,103.835148
224,SINO MONEYCHANGER PTE. LTD.,1.301191315,103.9051136
225,STERLING EXCHANGE & TRADING,1.304853375,103.9045742
226,STRAITS FOREIGN EXCHANGE,1.350189159,103.749022
227,SUMMER VIEW HOTEL PTE LTD,1.30165917,103.8522375
228,SWEE HUAT MONEYCHANGER,1.37381204,103.8545904
229,SWIFT EXCHANGE,1.333200217,103.7431704
230,ATLAS EXCHANGE,1.305961285,103.8526066
231,AMEERTECH REMITTANCE & EXCHANGE SERVICES PTE LTD,1.309179055,103.8532245
232,AVANT-GRADE MONEY CHANGER & TRADING,1.3973019,103.7465581
233,BCH HOTEL INVESTMENT PTE LTD,1.298469654,103.854867
234,BEACH ROAD HOTEL (1886) LTD,1.295097417,103.8540683
235,BISMI MINI MART,1.312048007,103.8771691
236,THE XCHANGEPOINT,1.36514048,103.8654159
237,THOMSON MONEY EXCHANGE,1.350675514,103.8718616
238,TIMECITY MONEY CHANGER,1.339315039,103.705351
239,TNT DEVELOPMENT PTE LTD,1.291168592,103.8419856
240,TOA PAYOH CENTRAL GOLD HALL,1.332590004,103.8496777
241,TRADERS HOTEL MANAGEMENT PTE LTD,1.300509555,103.8392241
242,TRANSURBAN PROPERTIES PTE. LTD.,1.320030053,103.8447824
243,TRIPLE STAR EXCHANGE,1.310255422,103.7953504
244,CLASSIC EXCHANGE,1.306372751,103.8270365
245,GPL REMITTANCE PTE LTD,1.302751218,103.8651636
246,GRAND PARK PROPERTY PTE LTD,1.292628949,103.8501239
247,GREAT EAST ENTERPRISE PTE LTD,1.29775107,103.8569492
248,GREAT STAR EXCHANGE,1.292220759,103.8506126
249,Hoi Hup Sunway Novena Pte Ltd tdg as Courtyard by Marriot Singapore Novena,1.320529822,103.8431589
250,RB CORP PTE LTD tdg as InterContinental Singapore Robertson Quay,1.289841037,103.8385517
251,A1 MONEYCHANGER & NEWSTAND,1.385672716,103.7441391
252,BEST MONEY CHANGER,1.29709989,103.8524422
253,MITRA FOREX PTE LTD,1.275735683,103.8457032
254,UEMS SOLUTIONS PTE LTD,1.276585811,103.8403345
255,RANITHA TRADING,1.354315564,103.9450195
256,EAST ASIA FOREX PTE LTD,1.302751218,103.8651636
257,EASTPOINT MONEYCHANGER,1.342706189,103.9530245
258,SEACARE HOSPITALITY PL,1.287716279,103.8398431
259,SERENE LAND PTE LTD,1.298582986,103.8493161
260,M.G.M. FOREIGN EXCHANGE,1.303723224,103.8352403
261,ARAMEX INTERNATIONAL EXCHANGE PTE LTD,1.303022995,103.8528756
262,HONG HUAT MONEY CHANGER,1.430361451,103.7741024
263,GR MONEY EXCHANGE,1.293802361,103.8317579
264,COMPASS FOREIGN EXCHANGE,1.392094149,103.89498
265,AIK YA MONEY CHANGER,1.37750727,103.7736056
266,PROFIT EXCHANGE,1.301928132,103.857669
267,PUNGGOL EXCHANGE,1.406481427,103.9020733
268,SING EXCHANGE,1.433512534,103.7797469
269,HOUGANG MONEY CHANGER,1.372311865,103.8936616
270,IBAN EXPRESS PTE LTD,1.369248907,103.8483992
271,ISHWARYA MONEY CHANGER,1.35267232,103.944388
272,JAHABAR MONEY CHANGER,1.306996715,103.8291158
273,JULI PTE LTD,1.334724903,103.7393213
274,PEOPLE'S PARK CENTRE MONEY CHANGER,1.293802361,103.8317579
275,RAHIM TRADERS,1.372449809,103.9497157
276,RISING MONEY EXCHANGE PTE LTD,1.336538677,103.8887627
277,SAJ EXCHANGE,1.293893588,103.8531199
278,SAKR IMPEX INTERNATIONAL,1.311393494,103.8564871
279,SHAN GEMS,1.301070547,103.8491763
280,TWO-WAY EXCHANGE,1.350705668,103.8480789
